Model,Regime,Val(seg),Val(clip),Test(seg),Test(clip),TestBal(seg),TestBal(clip),BestEp,Time(h)
Video Swin-B,BITFIT,0.6923,0.6239,0.5926,0.5510,0.4464,0.4385,2,0.86
Video Swin-B,FROZEN,0.6154,0.7179,0.4444,0.4408,0.3348,0.2801,12,0.55
Video Swin-B,PARTIAL,0.6154,0.7094,0.4444,0.4755,0.3482,0.3416,1,0.57
ViViT-B,BITFIT,0.3846,0.4188,0.5185,0.5347,0.4494,0.4737,1,0.67
ViViT-B,FROZEN,0.4615,0.4359,0.5556,0.4939,0.5461,0.4522,3,0.42
ViViT-B,PARTIAL,0.6154,0.6239,0.4074,0.4816,0.4613,0.4858,1,0.47
